occurrence_id,tex_line,citation_key,citation_command,paper_sentence,matched_source_quote,matched_source_locator,match_score,manifest_quote,manifest_locator,source_url,source_sha256,bib_label,evidence_check
1,108,Erdos848Original,cite,"Erd and S\'ark\""ozy asked whether this construction is extremal [Erdos848Original].",Some of my favourite problems in various branches of combinatorics Authors Paul Erdös,Erdos848Original/journal-page.text.txt:line 24,0.14,Some of my favourite problems in various branches of combinatorics,Erdos848Original/journal-page.text.txt:line 1,https://lematematiche.dmi.unict.it/index.php/lematematiche/article/view/587,98a75a5d1be81b478ac864b9174a291fb05c63d020a3e08b9ab9c8f83f8b582a,Some of My Favourite Problems in Various Branches of Combinatorics | Le Matematiche | 1992,source_anchor
2,110,Sawhney848,cite,Sawhney proved the assertion for all sufficiently large $N$ by a density sieve and structural reduction [Sawhney848].,n ≡ 18 mod 25}. The proof in fact gives that there exists η > 0 such that if |A| ≥ (1/25 − η) · N and N is sufficiently large then A is contained in either {n ∈ [N ] : n ≡ 7 mod 25} or {n ∈ [N ] : n ≡ 18 mod 25}. It may be of interest to explore further whether one can give a strong structural classification of sets A,Sawhney848/preprint.pdf.txt:line 15,0.33,                                                     MEHTAAB SAWHNEY,Sawhney848/preprint.pdf.txt:line 4,https://www.math.columbia.edu/~msawhney/Problem_848.pdf,112deb12350ea812e5a8e140f2df00b72d2a848c5dc0d2000de738e948e637ba,"On $A[N]$ Such That $ab+1$ Is Never Squarefree for $a,b A$ | 2025",source_anchor
3,112,Sothanaphan848,cite,Sothanaphan made the asymptotic inputs explicit and obtained the threshold $N2.6410^17$ [Sothanaphan848].,An Explicit Threshold in Erdős Problem #848 Nat Sothanaphan∗,Sothanaphan848/preprint.pdf.txt:line 1,0.38,                  An Explicit Threshold in Erdős Problem #848,Sothanaphan848/preprint.pdf.txt:line 1,https://drive.usercontent.google.com/download?id=1ujhm4_WYpgRV_rd1rJXIfHyvx16COEKe&export=download&confirm=t,8162113a571dc2283fc77de1cdf36e7abf424eeec952aa27cf82a4f44b3a796f,An Explicit Threshold in Erd Problem 848 | 2026,source_anchor
4,160,HelfgottPlatt,cite,"Exact finite calculations enter only after these reductions; they prove rational inequalities and do not extrapolate from sampled values [HelfgottPlatt,OliveiraSilvaHerzogPardi].",$.message.DOI = 10.1080/10586458.2013.831742 $.message.ISSN[0] = 1058-6458 $.message.ISSN[1] = 1944-950X,HelfgottPlatt/crossref.json.txt:line 1,0.00,$.message.title[0] = Numerical Verification of the Ternary Goldbach Conjecture up to 8.875·10<sup>30</sup>,HelfgottPlatt/crossref.json.txt:line 123,https://api.crossref.org/works/10.1080/10586458.2013.831742,45c2cce3868ced4a862e4531f6f83c5cb3eef9a4156aa0404bf53ead29577337,Numerical Verification of the Ternary Goldbach Conjecture up to $8.87510^30$ | Experimental Mathematics | 2013,source_anchor
5,160,OliveiraSilvaHerzogPardi,cite,"Exact finite calculations enter only after these reductions; they prove rational inequalities and do not extrapolate from sampled values [HelfgottPlatt,OliveiraSilvaHerzogPardi].",$.message.DOI = 10.1090/s0025-5718-2013-02787-1 $.message.ISSN[0] = 1088-6842 $.message.ISSN[1] = 0025-5718,OliveiraSilvaHerzogPardi/crossref.json.txt:line 1,0.00,$.message.title[0] = Empirical verification of the even Goldbach conjecture and computation of prime gaps up to 4⋅10¹⁸,OliveiraSilvaHerzogPardi/crossref.json.txt:line 605,https://api.crossref.org/works/10.1090/S0025-5718-2013-02787-1,adc250bb48343c3f28ec43766080cd09149fe86f38fabd755d2422234d2bda4b,Empirical Verification of the Even Goldbach Conjecture and Computation of Prime Gaps up to $410^18$ | Mathematics of Computation | 2014,source_anchor
6,163,PracharSquarefreeAP,cite,"The squarefree-progression estimates belong to the classical line of Prachar and Hooley [PracharSquarefreeAP,HooleySquarefreeAP].",$.message.items[0].alternative-id[0] = BF01301288 $.message.items[0].author[0].affiliation = [] $.message.items[0].author[0].family = Prachar,PracharSquarefreeAP/crossref-search.json.txt:line 5,0.14,$.message.items[0].title[0] = �ber die kleinste quadratfreie Zahl einer arithmetischen Reihe,PracharSquarefreeAP/crossref-search.json.txt:line 79,https://api.crossref.org/works?query.title=%C3%9Cber%20die%20kleinste%20quadratfreie%20Zahl%20einer%20arithmetischen%20Reihe&query.author=Prachar&rows=3,1e709c53c31bdc0d3901af183451ce0ed731d894425abbaa0fc9094157444d86,"\""Uber die kleinste quadratfreie Zahl einer arithmetischen Reihe | Monatshefte f\""ur Mathematik | 1958",source_anchor
7,163,HooleySquarefreeAP,cite,"The squarefree-progression estimates belong to the classical line of Prachar and Hooley [PracharSquarefreeAP,HooleySquarefreeAP].","$.message.archive[0] = Portico $.message.author[0].affiliation[0].name = Department of Pure Mathematics, University College, Cardiff $.message.author[0].family = Hooley",HooleySquarefreeAP/crossref.json.txt:line 6,0.14,$.message.title[0] = A Note on Square‐Free Numbers in Arithmetic Progressions,HooleySquarefreeAP/crossref.json.txt:line 93,https://api.crossref.org/works/10.1112/blms/7.2.133,60816023967f6573a52e8f6d7d86c5f894b9df0a15f7eb53b47405f9f25f8bea,A Note on Square-Free Numbers in Arithmetic Progressions | Bulletin of the London Mathematical Society | 1975,source_anchor
8,167,GonthierOddOrder,cite,"Finite tables are accompanied by general soundness theorems, as in other formalized proofs with substantial computation [GonthierOddOrder,HalesFlyspeck].","$.message.reference[1].series-title = Lecture Notes in Computer Science $.message.reference[1].unstructured = Armand, M., Faure, G., Grégoire, B., Keller, C., Théry, L., Werner, B.: A Modular Integration of SAT/SMT Solvers to Coq through Proof Witnesses. In: Jouannaud, J.-P., Shao, Z. (eds.) CPP 2011. LNCS, vol. 7086, pp. 135–150. Springer, Heidelberg (2011) $.message.reference[1].volume-title = Certified Programs and Proofs",GonthierOddOrder/crossref.json.txt:line 153,0.09,$.message.title[0] = A Machine-Checked Proof of the Odd Order Theorem,GonthierOddOrder/crossref.json.txt:line 380,https://api.crossref.org/works/10.1007/978-3-642-39634-2_14,e3ccd5b79c0f239a8ae7c6b92f97c23c8519838386bde5317e91ec85968ab0b5,A Machine-Checked Proof of the Odd Order Theorem | Interactive Theorem Proving | 2013,source_anchor
9,167,HalesFlyspeck,cite,"Finite tables are accompanied by general soundness theorems, as in other formalized proofs with substantial computation [GonthierOddOrder,HalesFlyspeck].","$.message.reference[5].author = Hales $.message.reference[5].key = S2050508617000014_r15 $.message.reference[5].volume-title = Mathematics, Algorithms, Proofs",HalesFlyspeck/crossref.json.txt:line 210,0.09,$.message.abstract = <jats:p>This article describes a formal proof of the Kepler conjecture on dense sphere packings in a combination of the HOL Light and Isabelle proof assistants. This paper constitutes the official published account of the now completed Flyspeck project.</jats:p>,HalesFlyspeck/crossref.json.txt:line 4,https://api.crossref.org/works/10.1017/fmp.2017.1,4e33ab7dc5a3edb62a6d0e0538c900976a8895c2967074213a87f34b40dcf0dc,"A Formal Proof of the Kepler Conjecture | Forum of Mathematics, Pi | 2017",source_anchor
10,390,RosserSchoenfeld,cite,"The endpoint term contributes $(N/26)/N$, and an explicit prime-count estimate bounds this by $59/10^4$ for $N$ [RosserSchoenfeld,DusartPrimes].",$.message.DOI = 10.1215/ijm/1255631807 $.message.ISSN[0] = 0019-2082 $.message.URL = https://doi.org/10.1215/ijm/1255631807,RosserSchoenfeld/crossref.json.txt:line 1,0.00,$.message.title[0] = Approximate formulas for some functions of prime numbers,RosserSchoenfeld/crossref.json.txt:line 69,https://api.crossref.org/works/10.1215/ijm/1255631807,80b7224ea3aea0b28108d0b22f241f08cfbfc28543ee7d9f619814b623c742a1,Approximate Formulas for Some Functions of Prime Numbers | Illinois Journal of Mathematics | 1962,source_anchor
